,Date,Price,Open,High,Low,Change,DATE,DAILY TONNAGE,Tonnage,Grade,RecoveryPct,Gold_Return,Cumulative_Tonnage,Recovery_MA7
37,2015-04-17,1203.1,1198.6,1207.8,1197.0,0.0043,2015-04-17,165,165,303.0,90.75907590759076,0.0018319593638103093,4679,89.70338043390593
38,2015-04-24,1175.0,1193.0,1195.4,1174.1,-0.0162,2015-04-24,87,87,451.0,95.34368070953435,-0.023356329482171034,4766,90.32932066021593
39,2015-05-01,1175.0,1175.5,1175.5,1171.2,-0.0067,2015-05-01,106,106,387.0,94.57364341085272,0.0,4872,91.50217880981826
40,2015-05-08,1189.4,1183.0,1191.0,1182.0,0.0057,2015-05-08,98,98,367.0,91.55313351498636,0.012255319148936294,4970,91.46248560974588
41,2015-05-15,1225.8,1219.4,1226.0,1212.5,0.0001,2015-05-15,108,108,447.0,91.72259507829978,0.030603665713805128,5078,91.98807372652163
42,2015-05-22,1204.4,1206.6,1214.0,1202.0,-0.0002,2015-05-22,85,85,421.0,91.68646080760097,-0.01745798662098208,5163,92.33481680485616
43,2015-05-29,1189.8,1188.1,1194.4,1186.0,0.0008,2015-05-29,126,126,353.0,91.78470254957509,-0.012122218532049311,5289,92.48904171120572
44,2015-06-05,1168.1,1176.5,1178.0,1162.1,-0.006,2015-06-05,155,155,389.0,91.25964010282776,-0.018238359388132452,5444,92.56055088195386
45,2015-06-12,1179.2,1180.8,1183.7,1175.6,-0.001,2015-06-12,162,162,410.0,94.8780487804878,0.00950261107781869,5606,92.4940320349472
46,2015-06-19,1201.9,1201.8,1204.0,1198.0,-0.0001,2015-06-19,164,164,249.0,88.1661572659072,0.01925033921302588,5770,91.57867687138356
47,2015-06-26,1173.2,1172.5,1178.0,1167.1,0.0012,2015-06-26,89,89,249.0,88.1661572659072,-0.023878858474082776,5859,91.09482312151512
48,2015-07-03,1173.2,1173.2,1174.4,1161.9,0.0078,2015-07-03,173,173,249.0,88.1661572659072,0.0,6032,90.58676057688761
49,2015-07-10,1158.4,1159.5,1165.0,1158.1,-0.0011,2015-07-10,68,68,184.0,82.6086956521739,-0.012615069894306163,6100,89.28993698325516
50,2015-07-17,1132.2,1144.2,1144.2,1130.2,-0.0106,2015-07-17,113,113,155.0,76.12903225806451,-0.02261740331491713,6213,87.05341265589651
51,2015-07-24,1085.7,1089.7,1101.0,1073.0,-0.0078,2015-07-24,155,155,172.0,86.04651162790698,-0.041070482246952866,6368,86.30868001662212
52,2015-07-31,1094.7,1087.8,1102.5,1079.1,0.0058,2015-07-31,98,98,202.0,84.65346534653465,0.00828958275766789,6466,84.84802524034309
53,2015-08-07,1093.8,1089.0,1098.7,1081.1,0.0037,2015-08-07,90,90,238.0,89.49579831932773,-0.0008221430528912999,6556,85.03797396226032
54,2015-08-14,1112.4,1114.9,1120.0,1110.9,-0.0026,2015-08-14,97,97,160.0,78.125,0.017004936917169644,6653,83.60352292427356
55,2015-08-21,1159.2,1152.9,1167.0,1148.1,0.0056,2015-08-21,139,139,249.0,88.1661572659072,0.04207119741100329,6792,83.60352292427356
56,2015-08-28,1133.7,1133.7,1133.7,1133.7,0.0102,2015-08-28,165,165,174.0,79.88505747126436,-0.021997929606625277,6957,83.21443175557222
57,2015-09-04,1121.1,1125.0,1126.7,1117.5,-0.0028,2015-09-04,102,102,268.0,90.29850746268656,-0.011114051336332476,7059,85.23864249908965
58,2015-09-11,1103.3,1111.1,1111.1,1104.0,-0.0054,2015-09-11,139,139,228.0,84.21052631578947,-0.015877263402015784,7198,84.97635888307285
59,2015-09-18,1138.0,1130.5,1139.5,1128.6,0.0187,2015-09-18,99,99,305.0,88.19672131147541,0.03145110124172934,7297,85.48253830663582
60,2015-09-25,1145.6,1149.7,1149.7,1141.6,-0.0073,2015-09-25,124,124,246.0,87.39837398373984,0.006678383128295273,7421,85.1829062586947
61,2015-10-02,1136.6,1112.5,1140.9,1103.8,0.0206,2015-10-02,156,156,278.0,89.20863309352518,-0.007856145251396662,7577,86.76628241491257
62,2015-10-09,1155.9,1138.1,1159.3,1138.0,0.0101,2015-10-09,147,147,213.0,85.91549295774648,0.016980468062643084,7724,86.44475894231819
63,2015-10-16,1183.1,1182.5,1184.8,1174.3,-0.0037,2015-10-16,151,151,339.0,86.72566371681415,0.023531447357037605,7875,87.42198840596815
64,2015-10-23,1162.8,1165.9,1179.4,1158.6,-0.0028,2015-10-23,168,168,386.0,90.67357512953367,-0.01715831290677028,8043,87.47556950123203
65,2015-10-30,1141.8,1142.4,1142.4,1139.3,-0.0051,2015-10-30,128,128,372.0,91.12903225806453,-0.018059855521155854,8171,88.4639274929856
66,2015-11-03,1114.5,1135.5,1135.5,1114.4,-0.0192,2015-11-03,139,139,171.0,87.13450292397661,-0.023909616395165534,8310,88.31218200905721
67,2015-11-10,1088.9,1090.5,1093.2,1086.4,0.0004,2015-11-10,96,96,343.0,93.5860058309038,-0.022969941677882355,8406,89.19612941579491
68,2015-11-17,1068.7,1083.3,1083.3,1065.7,-0.0139,2015-11-17,138,138,226.0,88.49557522123894,-0.01855083111396827,8544,89.09426400546832
69,2015-11-24,1073.3,1069.9,1080.0,1069.6,0.0062,2015-11-24,152,152,365.0,89.58904109589041,0.004304294937774733,8696,89.61905659663172
70,2015-12-01,1063.5,1064.6,1074.0,1062.6,-0.0017,2015-12-01,106,106,312.0,90.7051282051282,-0.009130718345290223,8802,90.18755152353376
71,2015-12-08,1075.3,1069.7,1078.4,1066.8,0.0001,2015-12-08,119,119,326.0,90.49079754601227,0.011095439586271683,8921,90.16144044017355
72,2015-12-15,1061.6,1059.8,1067.9,1057.4,-0.0017,2015-12-15,79,79,337.0,89.02077151335311,-0.012740630521714924,9000,89.8602603337862
73,2015-12-22,1074.1,1078.0,1080.3,1071.2,-0.006,2015-12-22,89,89,285.0,92.63157894736842,0.01177467972871149,9089,90.64555690855646
74,2015-12-28,1068.3,1075.2,1076.5,1065.7,-0.0071,2015-12-28,90,90,425.0,94.58823529411764,-0.005399869658318512,9179,90.78873254615841
75,2016-11-03,1305.3,1300.8,1309.0,1291.7,-0.0037,2016-11-03,120,120,259.0,88.8030888030888,0.22184779556304401,9299,90.83266305785126
76,2016-11-10,1267.9,1280.0,1292.8,1255.8,-0.0059,2016-11-10,163,163,263.0,89.35361216730038,-0.028652417068873004,9462,90.79903035376698
77,2016-11-17,1218.3,1227.5,1232.3,1212.6,-0.0057,2016-11-17,169,169,174.0,85.63218390804597,-0.039119804400978064,9631,90.07432402561236
78,2016-11-24,1178.4,1189.4,1192.7,1170.3,-0.0104,2016-11-24,112,112,258.0,89.92248062015504,-0.032750554050726355,9743,89.99313589334704
79,2016-12-01,1169.4,1175.1,1178.4,1162.2,-0.0038,2016-12-01,120,120,227.0,86.78414096916299,-0.0076374745417515655,9863,89.67361724417704
80,2016-12-08,1172.4,1176.1,1180.7,1170.9,-0.0043,2016-12-08,77,77,213.0,85.44600938967136,0.002565418163160693,9940,88.64710730736317
81,2016-12-15,1129.8,1143.8,1146.0,1124.3,-0.0291,2016-12-15,155,155,286.0,88.81118881118881,-0.036335721596724824,10095,87.82181495265907
82,2016-12-22,1130.7,1133.2,1135.5,1128.6,-0.0022,2016-12-22,149,149,213.0,87.79342723004694,0.0007966011683484542,10244,87.67757758508164
83,2016-12-27,1138.8,1135.3,1151.7,1132.8,0.0046,2016-12-27,151,151,197.0,90.35532994923858,0.007163703900238794,10395,87.82068012535852
84,2017-01-06,1174.8,1179.7,1180.1,1172.6,-0.0066,2017-01-06,161,161,188.0,87.7659574468085,0.03161222339304537,10556,88.12550491661032
85,2017-01-10,1186.9,1183.5,1191.2,1181.9,0.0005,2017-01-10,98,98,243.0,88.06584362139918,0.010299625468164875,10654,87.8602710596452
86,2017-01-17,1214.3,1200.8,1220.0,1200.8,0.0012,2017-01-17,169,169,206.0,89.32038834951457,0.023085348386553184,10823,88.22259211398114
87,2017-01-24,1211.7,1218.4,1220.6,1207.5,-0.004,2017-01-24,142,142,171.0,87.71929824561403,-0.002141151280573128,10965,88.54734766483008
88,2017-01-31,1211.4,1197.7,1217.4,1195.6,0.0129,2017-01-31,132,132,152.0,85.52631578947368,-0.00024758603614749575,11097,88.07808009029934
89,2017-02-07,1236.1,1236.9,1237.5,1229.2,0.0032,2017-02-07,109,109,248.0,88.30645161290323,0.020389631830939337,11206,88.15136928785024
90,2017-02-14,1225.4,1226.1,1236.0,1222.7,-0.0003,2017-02-14,84,84,290.0,92.75862068965516,-0.008656257584337745,11290,88.49469653648119
91,2017-02-21,1238.9,1236.4,1240.2,1226.8,0.0,2017-02-21,111,111,276.0,92.7536231884058,0.01101681083727768,11401,89.20722021385224
92,2017-02-28,1255.4,1254.7,1258.4,1252.9,-0.004,2017-02-28,169,169,188.0,87.7659574468085,0.01331826620389065,11570,89.16437933176785
93,2017-03-06,1227.1,1235.1,1236.4,1227.1,-0.0008,2017-03-06,88,88,183.0,88.52459016393442,-0.022542615899315055,11658,89.05069387668497
94,2017-03-13,1204.7,1207.0,1211.6,1204.6,0.0014,2017-03-13,129,129,242.0,88.42975206611571,-0.01825442099258401,11787,89.1521872796138
95,2017-03-20,1235.6,1231.6,1236.2,1231.6,0.0032,2017-03-20,114,114,236.0,92.3728813559322,0.025649539304390956,11901,90.13026807482213
96,2017-03-27,1257.3,1251.7,1262.4,1247.7,0.0058,2017-03-27,100,100,193.0,90.67357512953367,0.017562317902233726,12001,90.46842857719791
97,2017-04-03,1254.0,1251.9,1255.9,1246.4,0.0022,2017-04-03,71,71,242.0,92.56198347107438,-0.002624671916010457,12072,90.4403375459721
